Age,Gender,Education Level,Job Title,Years of Experience,Work Hours,Industry,Salary
70,Male,Phd,Customer Service Rep,52,80,Other,2437
70,Female,Phd,Junior Developer,49,80,It/Tech,1878
70,Female,Phd,Junior Developer,52,80,It/Tech,2252
70,Female,Phd,Junior Developer,52,80,It/Tech,2248
70,Male,Phd,Junior Developer,48,80,It/Tech,2122
70,Female,Phd,Junior Developer,48,80,It/Tech,2005
70,Male,Phd,Customer Service Rep,52,80,Other,2807
70,Female,Phd,Junior Developer,52,80,It/Tech,2567
67,Male,Phd,Customer Service Rep,45,80,Other,2083
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2306
67,Female,Phd,Customer Service Rep,45,80,Other,1971
67,Male,Phd,Junior Developer,45,80,It/Tech,1877
70,Male,Phd,Junior Developer,52,80,It/Tech,2453
53,Female,Phd,Junior Developer,31,80,It/Tech,1143
55,Male,Phd,Junior Developer,33,80,It/Tech,1902
66,Female,Phd,Data Entry Clerk,44,80,It/Tech,1770
62,Female,Phd,Junior Developer,40,80,It/Tech,1675
70,Female,Phd,Customer Service Rep,52,80,Other,2163
63,Male,Phd,Customer Service Rep,41,80,Other,1517
58,Male,Phd,Customer Service Rep,36,80,Other,1801
70,Female,Phd,Customer Service Rep,52,80,Other,2871
70,Male,Phd,Junior Developer,48,80,It/Tech,1812
70,Female,Phd,Junior Developer,51,80,It/Tech,2051
58,Male,Phd,Junior Developer,36,80,It/Tech,1851
67,Female,Phd,Data Entry Clerk,45,80,It/Tech,2240
70,Female,Phd,Junior Developer,51,80,It/Tech,2445
60,Male,Phd,Junior Developer,38,80,It/Tech,2057
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2311
66,Male,Phd,Customer Service Rep,44,80,Other,1858
69,Male,Phd,Junior Developer,47,80,It/Tech,1647
66,Female,Phd,Junior Developer,44,80,It/Tech,1704
70,Female,Phd,Customer Service Rep,52,67,Other,2155
70,Female,Phd,Data Entry Clerk,50,80,It/Tech,2120
61,Male,Phd,Data Entry Clerk,39,80,It/Tech,1928
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2149
60,Female,Phd,Junior Developer,38,80,It/Tech,1769
70,Female,Phd,Data Entry Clerk,52,75,It/Tech,1944
52,Male,Phd,Data Entry Clerk,30,71,It/Tech,1065
59,Female,Phd,Junior Developer,37,80,It/Tech,1393
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,1995
70,Male,Phd,Customer Service Rep,52,80,Other,2484
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2279
70,Female,Phd,Customer Service Rep,49,80,Other,2332
69,Male,Phd,Data Entry Clerk,47,80,It/Tech,1683
57,Female,Post Graduation,Data Entry Clerk,35,80,It/Tech,1706
65,Male,Phd,Junior Developer,43,80,It/Tech,2109
67,Male,Phd,Customer Service Rep,45,80,Other,1813
70,Male,Phd,Customer Service Rep,52,68,Other,2027
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2466
54,Male,Phd,Data Entry Clerk,32,80,It/Tech,1974
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,1933
68,Male,Phd,Junior Developer,46,80,It/Tech,1954
65,Female,Phd,Customer Service Rep,43,80,Other,1664
70,Female,Phd,Data Entry Clerk,52,80,It/Tech,2105
70,Female,Phd,Customer Service Rep,52,80,Other,2119
70,Male,Phd,Data Entry Clerk,52,80,It/Tech,2215
64,Female,Phd,Customer Service Rep,42,80,Other,1897
69,Male,Phd,Data Entry Clerk,47,80,It/Tech,2103
